tradeDate,buyReturn,holdReturn,netReturn,000001.SH,000300.SH,000905.SH,000016.SH
20060104,0.019790694,0,0.009895347,0.01713562,0.019470215,0.01348877,0.020339966
20060105,0.020862592,0.018949261,0.019905926,0.013809204,0.018814087,0.012619019,0.018753052
20060106,0.017121103,0.012223167,0.014672135,0.010147095,0.011360168,0.010429382,0.010940552
20060109,0.010617968,0.013146645,0.011882307,0.005168915,0.005382538,0.014717102,0.00166893
20060110,0.00279919,0.008677843,0.005738517,0.004070282,0.002975464,0.006763458,0.000323296
20060111,-0.002510033,0.002707081,9.85E-05,-0.007843018,-0.004779816,-0.005153656,-0.00749588
20060112,0.027548566,0.019205855,0.02337721,0.012924194,0.010520935,0.023086548,0.005168915
20060113,-0.00455389,0.001443166,-0.001555362,-0.004272461,-0.004989624,0.005477905,-0.006507874
20060116,-0.014563153,-0.017070078,-0.015816615,-0.015220642,-0.017745972,-0.013046265,-0.019546509
20060117,0.00764174,0.002901986,0.005271863,0.004631042,0.002965927,-0.001144409,0.004249573
20060118,0.031061166,0.02808153,0.029571348,0.020614624,0.020050049,0.021606445,0.020523071
20060119,0.004490126,0.009424422,0.006957274,0.014778137,0.007724762,0.011474609,0.006515503
20060120,0.005308421,0.013033993,0.009171207,0.002981186,0.00213623,0.003005981,-0.000255823
20060123,0.015913996,0.010516821,0.013215408,0.000366449,0.002840042,0.008712769,-0.000295162
20060124,-0.002075355,-0.000828953,-0.001452154,-0.002954483,0.002943039,-0.00074482,-0.00198555
20060125,0.009950914,0.000121975,0.005036444,0.00478363,0.010513306,-0.002672195,0.010169983
20060206,0.027425191,0.035579538,0.031502365,0.023513794,0.023406982,0.024139404,0.01663208
20060207,0.002371053,-0.000853042,0.000759005,-0.004295349,-0.003190994,0.000677109,-0.005111694
20060208,0.009041193,0.007673128,0.008357161,0.006210327,0.003044128,0.001394272,0.006893158
20060209,-0.007739768,-0.010865753,-0.00930276,-0.015975952,-0.013038635,-0.013595581,-0.013648987
20060210,0.016223743,0.010558799,0.013391271,0.010406494,0.012496948,0.011573792,0.010772705
20060213,-0.003433055,-0.00265428,-0.003043667,-0.002353668,-0.000700474,-0.003471375,-0.000432491
20060214,0.027493505,0.013618088,0.020555797,0.005226135,0.006706238,0.008857727,0.003547668
20060215,-0.004785824,0.00193345,-0.001426187,0.009979248,0.003013611,0.000106514,0.006229401
20060216,-0.021568348,-0.019131085,-0.020349716,-0.021972656,-0.020675659,-0.027954102,-0.013793945
20060217,0.002002636,-0.008473558,-0.003235461,-0.002534866,0.000242114,-0.008972168,0.002271652
20060220,-0.005334488,-0.00310356,-0.004219024,0.00010258,0.001245499,-0.006557465,-2.45E-05
20060221,0.032556498,0.02912181,0.030839154,0.016479492,0.016815186,0.017227173,0.01701355
20060222,0.002071796,0.000614996,0.001343396,-0.003252029,-0.000895977,-7.29E-05,-0.002828598
20060223,0.004267036,0.004128932,0.004197984,0.00359726,0.003360748,-0.001276016,0.008682251
20060224,0.013328875,0.010863848,0.012096361,0.006221771,0.007751465,0.008804321,0.005836487
20060227,-0.005299924,-0.003297079,-0.004298502,0.000246763,-0.001523972,-0.003913879,0.00548172
20060228,0.011190036,0.0067356,0.008962818,0.001418114,0.004928589,0.001398087,0.005958557
20060301,0.008976296,0.008935544,0.00895592,0.005821228,0.003427505,0.007610321,0.003047943
20060302,-0.016677944,-0.017068685,-0.016873315,-0.01600647,-0.016998291,-0.019241333,-0.021224976
20060303,0.012291476,0.007011409,0.009651442,0.005935669,0.00289917,0.001141548,0.004276276
20060306,0.000916823,0.001443239,0.001180031,-0.003355026,-0.002691269,-0.002206802,-0.001182556
20060307,-0.025185502,-0.028589502,-0.026887502,-0.022537231,-0.023010254,-0.024963379,-0.019866943
20060308,0.00558643,-0.006797262,-0.000605416,-0.007572174,-0.005619049,-0.00403595,-0.002952576
20060309,0.000467392,-0.004824345,-0.002178477,-0.004165649,-0.004882813,-0.005081177,-0.006912231
20060310,0.006702101,0.006109332,0.006405716,0.000385523,0.00453186,0.001688004,0.00440979
20060313,0.012128159,0.012373107,0.012250633,0.011253357,0.010871887,0.007415771,0.007621765
20060314,-0.001757515,0.000775474,-0.00049102,-0.000500202,-0.001561165,0.003450394,-0.003246307
20060315,0.020399793,0.019320655,0.019860224,0.012527466,0.010498047,0.011772156,0.008651733
20060316,0.004161287,-0.000298367,0.00193146,-0.000486374,-0.001304626,0.003005981,-0.002996445
20060317,-0.001768276,0.000636018,-0.000566129,-0.0037117,-0.003503799,-0.001901627,-0.002836227
20060320,0.018515356,0.013609338,0.016062347,0.014938354,0.013320923,0.013153076,0.01374054
20060321,-0.001562301,0.007690046,0.003063873,0.001536369,0.002985001,0.00396347,0.000121117
20060322,0.018667767,0.009147399,0.013907583,0.004890442,0.006637573,0.012718201,0.000675201
20060323,0.003021588,-0.00031527,0.001353159,0.004432678,0.000831604,0.008956909,-0.000816345
20060324,-0.002584954,-0.005810167,-0.00419756,-0.005958557,-0.005661011,-0.006698608,-0.006477356
20060327,0.01312983,0.013167752,0.013148791,0.00094223,0.007774353,0.010147095,0.003585815
20060328,0.007628657,0.007332297,0.007480477,0.002214432,0.005020142,0.010536194,0.002540588
20060329,0.007361339,0.00621072,0.00678603,0.005218506,0.00881958,0.003202438,0.012023926
20060330,-0.011255907,-0.011757033,-0.01150647,-0.008308411,-0.00907135,-0.010772705,-0.008483887
20060331,0.016774675,0.006458963,0.011616819,0.002765656,0.0051651,0.013465881,0.000666618
20060403,0.03175614,0.031286335,0.031521237,0.016311646,0.017181396,0.025527954,0.015014648
20060404,0.020354547,0.017244827,0.018799687,0.007827759,0.009307861,0.012008667,0.010414124
20060405,0.019211244,0.007973588,0.013592416,0.007789612,0.009727478,0.010169983,0.006061554
20060406,0.004236941,0.011439503,0.007838222,-0.000313282,0.002969742,0.004795074,-0.005134583
20060407,0.014302048,0.010585386,0.012443717,0.002410889,-7.52E-05,0.013679504,-0.004806519
20060410,0.023236605,0.019947768,0.021592186,0.011993408,0.013374329,0.02116394,0.013336182
20060411,0.006964214,0.008319011,0.007641613,0.002317429,0.004829407,0.003381729,0.003419876
